Year,soe,Total_Arrivals,Total_Male_Arrivals,Total_Female_Arrivals
2020,Johor,3391945,1992547,1399398
2020,Kedah,289242,173493,115749
2020,Kelantan,100375,53826,46549
2020,Melaka,10303,4826,5477
2020,Negeri Sembilan,8352,5476,2876
2020,Pahang,1792,980,812
2020,Perak,46530,22041,24489
2020,Perlis,161218,106276,54942
2020,Pulau Pinang,135829,63411,72418
2020,Sabah,102507,47528,54979
2020,Sarawak,297383,177389,119994
2020,Selangor,1619117,938551,680566
2020,Terengganu,49,48,1
2020,W.P. Labuan,7366,4840,2526
