soe,month,arrivals
Johor,1,4815
Johor,2,3236
Johor,3,8338
Johor,4,435671
Johor,5,709855
Johor,6,943173
Johor,7,1125995
Johor,8,1122353
Johor,9,1202442
Johor,10,1208015
Johor,11,1214628
Johor,12,1395639
Kedah,1,18605
Kedah,2,16919
Kedah,3,20277
Kedah,4,21177
Kedah,5,31734
Kedah,6,43811
Kedah,7,53769
Kedah,8,49025
Kedah,9,53695
Kedah,10,76669
Kedah,11,74452
Kedah,12,76994
Kelantan,1,4
Kelantan,2,15
Kelantan,3,14
Kelantan,4,8
Kelantan,5,3846
Kelantan,6,8887
Kelantan,7,16009
Kelantan,8,29539
Kelantan,9,30029
Kelantan,10,38130
Kelantan,11,33210
Kelantan,12,26458
Melaka,1,0
Melaka,2,0
Melaka,3,13
Melaka,4,16
Melaka,5,2979
Melaka,6,5730
Melaka,7,6265
Melaka,8,6512
Melaka,9,7883
Melaka,10,6778
Melaka,11,5202
Melaka,12,8007
Negeri Sembilan,1,0
Negeri Sembilan,2,0
Negeri Sembilan,3,0
Negeri Sembilan,4,6
Negeri Sembilan,5,2778
Negeri Sembilan,6,5760
Negeri Sembilan,7,6090
Negeri Sembilan,8,7508
Negeri Sembilan,9,6848
Negeri Sembilan,10,7422
Negeri Sembilan,11,6805
Negeri Sembilan,12,7009
Pahang,1,0
Pahang,2,0
Pahang,3,0
Pahang,4,41
Pahang,5,92
Pahang,6,53
Pahang,7,85
Pahang,8,190
Pahang,9,230
Pahang,10,132
Pahang,11,59
Pahang,12,721
Perak,1,13
Perak,2,13
Perak,3,8
Perak,4,1241
Perak,5,2943
Perak,6,7696
Perak,7,10885
Perak,8,12303
Perak,9,9785
Perak,10,14232
Perak,11,15485
Perak,12,18264
Perlis,1,9168
Perlis,2,8533
Perlis,3,10164
Perlis,4,10089
Perlis,5,25309
Perlis,6,41620
Perlis,7,50675
Perlis,8,65702
Perlis,9,48378
Perlis,10,58279
Perlis,11,55300
Perlis,12,54034
Pulau Pinang,1,266
Pulau Pinang,2,471
Pulau Pinang,3,1619
Pulau Pinang,4,10484
Pulau Pinang,5,24031
Pulau Pinang,6,38589
Pulau Pinang,7,43801
Pulau Pinang,8,45781
Pulau Pinang,9,49737
Pulau Pinang,10,55019
Pulau Pinang,11,54970
Pulau Pinang,12,65816
Sabah,1,40
Sabah,2,18
Sabah,3,30
Sabah,4,1733
Sabah,5,5174
Sabah,6,10590
Sabah,7,19694
Sabah,8,19225
Sabah,9,17259
Sabah,10,17484
Sabah,11,21324
Sabah,12,29583
Sarawak,1,1008
Sarawak,2,778
Sarawak,3,950
Sarawak,4,3082
Sarawak,5,16045
Sarawak,6,29014
Sarawak,7,35179
Sarawak,8,63655
Sarawak,9,90338
Sarawak,10,95953
Sarawak,11,98435
Sarawak,12,193715
Selangor,1,42628
Selangor,2,38753
Selangor,3,51030
Selangor,4,121109
Selangor,5,212367
Selangor,6,254120
Selangor,7,331379
Selangor,8,385927
Selangor,9,382603
Selangor,10,443226
Selangor,11,467311
Selangor,12,521992
Terengganu,1,0
Terengganu,2,0
Terengganu,3,0
Terengganu,4,2
Terengganu,5,0
Terengganu,6,7
Terengganu,7,0
Terengganu,8,0
Terengganu,9,16
Terengganu,10,4
Terengganu,11,4
Terengganu,12,0
W.P. Labuan,1,12
W.P. Labuan,2,17
W.P. Labuan,3,12
W.P. Labuan,4,31
W.P. Labuan,5,28
W.P. Labuan,6,42
W.P. Labuan,7,64
W.P. Labuan,8,653
W.P. Labuan,9,940
W.P. Labuan,10,1026
W.P. Labuan,11,1234
W.P. Labuan,12,2316
