soe,continent,year,arrivals,total_arrivals,percentage_arrivals
Pahang,Europe,2022,181,1603,11.291328758577666
Pahang,Europe,2023,759,9209,8.24193723531328
Pahang,North America,2020,27,1792,1.5066964285714286
Pahang,North America,2021,0,7,0.0
Pahang,North America,2022,34,1603,2.1210230817217717
Pahang,North America,2023,186,9209,2.0197632750570094
Pahang,Oceania,2020,80,1792,4.464285714285714
Pahang,Oceania,2021,0,7,0.0
Pahang,Oceania,2022,48,1603,2.9943855271366187
Pahang,Oceania,2023,302,9209,3.2794005863828866
Pahang,South America,2020,0,1792,0.0
Pahang,South America,2021,0,7,0.0
Pahang,South America,2022,0,1603,0.0
Pahang,South America,2023,15,9209,0.1628841350852427
Perak,Africa,2020,4,46511,0.00860011610156737
Perak,Africa,2021,0,68,0.0
Perak,Africa,2022,45,92856,0.048462134918583616
Perak,Africa,2023,65,229196,0.02836000628283216
Perak,Asia,2020,45055,46511,96.86955773902947
Perak,Asia,2021,53,68,77.94117647058823
Perak,Asia,2022,89160,92856,96.019643318687
Perak,Asia,2023,220732,229196,96.30709087418629
Perak,Europe,2020,675,46511,1.4512695921394938
Perak,Europe,2021,5,68,7.352941176470589
Perak,Europe,2022,1336,92856,1.4387869389161712
Perak,Europe,2023,2928,229196,1.2775092060943471
Perak,North America,2020,257,46511,0.5525574595257036
Perak,North America,2021,6,68,8.823529411764707
Perak,North America,2022,863,92856,0.9293960541052813
Perak,North America,2023,2307,229196,1.0065620691460584
Perak,Oceania,2020,504,46511,1.0836146287974888
Perak,Oceania,2021,4,68,5.88235294117647
Perak,Oceania,2022,1413,92856,1.5217110364435256
Perak,Oceania,2023,3112,229196,1.3577898392642107
Perak,South America,2020,16,46511,0.03440046440626948
Perak,South America,2021,0,68,0.0
Perak,South America,2022,39,92856,0.04200051692943913
Perak,South America,2023,52,229196,0.02268800502626573
Perlis,Africa,2020,51,161209,0.031635950846416766
Perlis,Africa,2021,0,100921,0.0
Perlis,Africa,2022,118,437229,0.02698814580002699
Perlis,Africa,2023,294,686249,0.04284159248319487
Perlis,Asia,2020,156512,161209,97.08639095832119
Perlis,Asia,2021,100921,100921,100.0
Perlis,Asia,2022,431702,437229,98.73590269629874
Perlis,Asia,2023,670228,686249,97.66542464907053
Perlis,Europe,2020,3806,161209,2.3609103710090626
Perlis,Europe,2021,0,100921,0.0
Perlis,Europe,2022,4279,437229,0.9786633549009787
Perlis,Europe,2023,12150,686249,1.7704943832340738
Perlis,North America,2020,481,161209,0.2983704383750287
Perlis,North America,2021,0,100921,0.0
Perlis,North America,2022,636,437229,0.14546153160014547
Perlis,North America,2023,1968,686249,0.2867763741732228
Perlis,Oceania,2020,276,161209,0.17120632222766718
Perlis,Oceania,2021,0,100921,0.0
Perlis,Oceania,2022,382,437229,0.08736840420008737
Perlis,Oceania,2023,1394,686249,0.20313326503936618
Perlis,South America,2020,83,161209,0.051485959220639047
Perlis,South America,2021,0,100921,0.0
Perlis,South America,2022,112,437229,0.025615867200025615
Perlis,South America,2023,215,686249,0.0313297359996153
Pulau Pinang,Africa,2020,289,135568,0.21317715095007672
Pulau Pinang,Africa,2021,4,2633,0.1519179642992784
Pulau Pinang,Africa,2022,640,390352,0.1639545845800713
Pulau Pinang,Africa,2023,1312,1032356,0.12708794253145234
Pulau Pinang,Asia,2020,113785,135568,83.93204886108816
Pulau Pinang,Asia,2021,2092,2633,79.4530953285226
Pulau Pinang,Asia,2022,341623,390352,87.51665163749641
Pulau Pinang,Asia,2023,920181,1032356,89.13407777937068
Pulau Pinang,Europe,2020,11269,135568,8.312433612651954
Pulau Pinang,Europe,2021,286,2633,10.862134447398406
Pulau Pinang,Europe,2022,22628,390352,5.796819281059147
Pulau Pinang,Europe,2023,51483,1032356,4.986942488831373
Pulau Pinang,North America,2020,5073,135568,3.7420335182343916
Pulau Pinang,North America,2021,159,2633,6.038739080896316
Pulau Pinang,North America,2022,13213,390352,3.3848936344632534
Pulau Pinang,North America,2023,31354,1032356,3.037130602234113
Pulau Pinang,Oceania,2020,5018,135568,3.70146347220583
Pulau Pinang,Oceania,2021,91,2633,3.4561336878085833
Pulau Pinang,Oceania,2022,11989,390352,3.0713304914538675
Pulau Pinang,Oceania,2023,27345,1032356,2.648795570520247
Pulau Pinang,South America,2020,134,135568,0.09884338486958574
Pulau Pinang,South America,2021,1,2633,0.0379794910748196
Pulau Pinang,South America,2022,259,390352,0.06635037094724762
Pulau Pinang,South America,2023,681,1032356,0.06596561651213341
Sabah,Africa,2020,98,102429,0.09567602924952895
Sabah,Africa,2021,5,155,3.225806451612903
Sabah,Africa,2022,248,142102,0.17452252607282093
Sabah,Africa,2023,377,354119,0.10646138727376955
Sabah,Asia,2020,94289,102429,92.0530318562126
Sabah,Asia,2021,120,155,77.41935483870968
Sabah,Asia,2022,128024,142102,90.09303176591462
Sabah,Asia,2023,330884,354119,93.43864633075322
Sabah,Europe,2020,4669,102429,4.558279393531129
Sabah,Europe,2021,13,155,8.38709677419355
Sabah,Europe,2022,7866,142102,5.53546044390649
Sabah,Europe,2023,12596,354119,3.556996376924141
Sabah,North America,2020,1637,102429,1.5981802028722334
Sabah,North America,2021,4,155,2.5806451612903225
Sabah,North America,2022,2794,142102,1.9661932977720227
Sabah,North America,2023,5344,354119,1.5090972243793754
Sabah,Oceania,2020,1660,102429,1.6206347811654902
Sabah,Oceania,2021,10,155,6.451612903225806
Sabah,Oceania,2022,3065,142102,2.156901380698372
Sabah,Oceania,2023,4701,354119,1.327519845023848
Sabah,South America,2020,76,102429,0.07419773696902245
Sabah,South America,2021,3,155,1.935483870967742
Sabah,South America,2022,105,142102,0.07389058563567016
Sabah,South America,2023,217,354119,0.06127883564564455
Sarawak,Africa,2020,385,297209,0.12953847292645915
Sarawak,Africa,2021,13,9906,0.13123359580052493
Sarawak,Africa,2022,1355,628002,0.21576364406482784
Sarawak,Africa,2023,3029,1659080,0.18257106348096536
Sarawak,Asia,2020,287007,297209,96.56739869923186
Sarawak,Asia,2021,9759,9906,98.5160508782556
Sarawak,Asia,2022,607824,628002,96.78695290779329
Sarawak,Asia,2023,1613001,1659080,97.2226173541963
Sarawak,Europe,2020,5893,297209,1.9827797946899322
Sarawak,Europe,2021,97,9906,0.9792045225116092
Sarawak,Europe,2022,11555,628002,1.839962293113716
Sarawak,Europe,2023,26035,1659080,1.5692431950237482
Sarawak,North America,2020,1898,297209,0.6386078483491415
Sarawak,North America,2021,18,9906,0.18170805572380377
Sarawak,North America,2022,3038,628002,0.4837564211578944
Sarawak,North America,2023,7662,1659080,0.46182221472141183
Sarawak,Oceania,2020,1954,297209,0.6574498080475355
Sarawak,Oceania,2021,16,9906,0.16151827175449224
Sarawak,Oceania,2022,4106,628002,0.6538195738230134
Sarawak,Oceania,2023,9112,1659080,0.5492200496660801
Sarawak,South America,2020,72,297209,0.024225376755078076
Sarawak,South America,2021,3,9906,0.03028467595396729
Sarawak,South America,2022,124,628002,0.019745160047261
Sarawak,South America,2023,241,1659080,0.014526122911493118
Selangor,Africa,2020,27801,1614876,1.7215563300216241
Selangor,Africa,2021,6441,132168,4.8733430179771196
Selangor,Africa,2022,59043,3245201,1.8193942378299526
Selangor,Africa,2023,131193,7540622,1.7398166888620064
Selangor,Antarctica,2020,1,1614876,6.192425920008719e-05
Selangor,Antarctica,2021,0,132168,0.0
Selangor,Antarctica,2022,2,3245201,6.162946455396753e-05
Selangor,Antarctica,2023,2,7540622,2.6523010966469347e-05
Selangor,Asia,2020,1259994,1614876,78.02419504655465
Selangor,Asia,2021,103170,132168,78.05974214635918
Selangor,Asia,2022,2538285,3245201,78.21657271768375
Selangor,Asia,2023,5971612,7540622,79.19256528174998
Selangor,Europe,2020,199645,1614876,12.362868728001407
Selangor,Europe,2021,15710,132168,11.886387022577326
Selangor,Europe,2022,383569,3245201,11.819576044750386
Selangor,Europe,2023,839579,7540622,11.134081512108683
Selangor,North America,2020,50813,1614876,3.1465573827340303
Selangor,North America,2021,4179,132168,3.1618848737969856
Selangor,North America,2022,111351,3245201,3.4312512537744193
Selangor,North America,2023,235319,7540622,3.1206842088093
Selangor,Oceania,2020,69065,1614876,4.276798961654022
Selangor,Oceania,2021,2100,132168,1.5888868712547668
Selangor,Oceania,2022,142296,3245201,4.384813144085682
Selangor,Oceania,2023,337047,7540622,4.469750638607796
Selangor,South America,2020,7557,1614876,0.4679616267750589
Selangor,South America,2021,568,132168,0.42975606803462263
Selangor,South America,2022,10655,3245201,0.328330972411262
Selangor,South America,2023,25870,7540622,0.343075146851281
Terengganu,Africa,2020,0,49,0.0
Terengganu,Africa,2021,0,47,0.0
Terengganu,Africa,2022,0,33,0.0
Terengganu,Africa,2023,5,52,9.615384615384617
Terengganu,Asia,2020,45,49,91.83673469387756
Terengganu,Asia,2021,47,47,100.0
Terengganu,Asia,2022,14,33,42.42424242424242
Terengganu,Asia,2023,25,52,48.07692307692308
Terengganu,Europe,2020,2,49,4.081632653061225
Terengganu,Europe,2021,0,47,0.0
Terengganu,Europe,2022,16,33,48.484848484848484
Terengganu,Europe,2023,7,52,13.461538461538462
Terengganu,North America,2020,0,49,0.0
Terengganu,North America,2021,0,47,0.0
Terengganu,North America,2022,1,33,3.0303030303030303
Terengganu,North America,2023,8,52,15.384615384615385
Terengganu,Oceania,2020,2,49,4.081632653061225
Terengganu,Oceania,2021,0,47,0.0
Terengganu,Oceania,2022,2,33,6.0606060606060606
Terengganu,Oceania,2023,7,52,13.461538461538462
W.P. Labuan,Africa,2020,24,7363,0.3259540947983159
W.P. Labuan,Africa,2021,0,90,0.0
W.P. Labuan,Africa,2022,29,6371,0.4551875686705384
W.P. Labuan,Africa,2023,77,22518,0.34194866329158896
W.P. Labuan,Asia,2020,6660,7363,90.45226130653266
W.P. Labuan,Asia,2021,90,90,100.0
W.P. Labuan,Asia,2022,5892,6371,92.48155705540732
W.P. Labuan,Asia,2023,21055,22518,93.5029753974598
W.P. Labuan,Europe,2020,548,7363,7.44261849789488
W.P. Labuan,Europe,2021,0,90,0.0
W.P. Labuan,Europe,2022,325,6371,5.101239993721551
W.P. Labuan,Europe,2023,1053,22518,4.676258992805756
W.P. Labuan,North America,2020,73,7363,0.9914437050115441
W.P. Labuan,North America,2021,0,90,0.0
W.P. Labuan,North America,2022,50,6371,0.7848061528802386
W.P. Labuan,North America,2023,166,22518,0.7371880273558931
W.P. Labuan,Oceania,2020,56,7363,0.7605595545294038
W.P. Labuan,Oceania,2021,0,90,0.0
W.P. Labuan,Oceania,2022,74,6371,1.161513106262753
W.P. Labuan,Oceania,2023,152,22518,0.6750155431210587
W.P. Labuan,South America,2020,2,7363,0.027162841233192993
W.P. Labuan,South America,2021,0,90,0.0
W.P. Labuan,South America,2022,1,6371,0.01569612305760477
W.P. Labuan,South America,2023,15,22518,0.06661337596589395
