soe,month,arrivals
Johor,1,1621595
Johor,2,1093546
Johor,3,669826
Johor,4,296
Johor,5,221
Johor,6,387
Johor,7,811
Johor,8,831
Johor,9,1314
Johor,10,1154
Johor,11,1017
Johor,12,947
Kedah,1,85071
Kedah,2,64428
Kedah,3,37180
Kedah,4,13837
Kedah,5,12924
Kedah,6,11743
Kedah,7,10020
Kedah,8,10339
Kedah,9,9295
Kedah,10,9606
Kedah,11,10592
Kedah,12,14207
Kelantan,1,40002
Kelantan,2,39680
Kelantan,3,20605
Kelantan,4,22
Kelantan,5,18
Kelantan,6,21
Kelantan,7,9
Kelantan,8,3
Kelantan,9,7
Kelantan,10,1
Kelantan,11,5
Kelantan,12,2
Melaka,1,6015
Melaka,2,3236
Melaka,3,1040
Melaka,4,0
Melaka,5,0
Melaka,6,0
Melaka,7,0
Melaka,8,0
Melaka,9,0
Melaka,10,2
Melaka,11,0
Melaka,12,10
Negeri Sembilan,1,3398
Negeri Sembilan,2,3259
Negeri Sembilan,3,1694
Negeri Sembilan,4,1
Negeri Sembilan,5,0
Negeri Sembilan,6,0
Negeri Sembilan,7,0
Negeri Sembilan,8,0
Negeri Sembilan,9,0
Negeri Sembilan,10,0
Negeri Sembilan,11,0
Negeri Sembilan,12,0
Pahang,1,1068
Pahang,2,449
Pahang,3,271
Pahang,4,0
Pahang,5,2
Pahang,6,0
Pahang,7,0
Pahang,8,0
Pahang,9,1
Pahang,10,0
Pahang,11,0
Pahang,12,1
Perak,1,21169
Perak,2,15691
Perak,3,9620
Perak,4,2
Perak,5,0
Perak,6,5
Perak,7,10
Perak,8,4
Perak,9,3
Perak,10,5
Perak,11,15
Perak,12,6
Perlis,1,52560
Perlis,2,45831
Perlis,3,29630
Perlis,4,2
Perlis,5,24
Perlis,6,3
Perlis,7,2564
Perlis,8,4320
Perlis,9,5202
Perlis,10,5489
Perlis,11,6796
Perlis,12,8797
Pulau Pinang,1,66139
Pulau Pinang,2,46197
Pulau Pinang,3,23117
Pulau Pinang,4,11
Pulau Pinang,5,1
Pulau Pinang,6,18
Pulau Pinang,7,24
Pulau Pinang,8,36
Pulau Pinang,9,26
Pulau Pinang,10,66
Pulau Pinang,11,98
Pulau Pinang,12,96
Sabah,1,64829
Sabah,2,30157
Sabah,3,7280
Sabah,4,18
Sabah,5,19
Sabah,6,33
Sabah,7,95
Sabah,8,37
Sabah,9,21
Sabah,10,2
Sabah,11,5
Sabah,12,11
Sarawak,1,140162
Sarawak,2,100480
Sarawak,3,49502
Sarawak,4,470
Sarawak,5,454
Sarawak,6,946
Sarawak,7,1193
Sarawak,8,808
Sarawak,9,848
Sarawak,10,642
Sarawak,11,1025
Sarawak,12,853
Selangor,1,817095
Selangor,2,551924
Selangor,3,214336
Selangor,4,416
Selangor,5,617
Selangor,6,1238
Selangor,7,5608
Selangor,8,5845
Selangor,9,5915
Selangor,10,5777
Selangor,11,5407
Selangor,12,4939
Terengganu,1,0
Terengganu,2,2
Terengganu,3,26
Terengganu,4,0
Terengganu,5,0
Terengganu,6,1
Terengganu,7,0
Terengganu,8,0
Terengganu,9,0
Terengganu,10,0
Terengganu,11,0
Terengganu,12,20
W.P. Labuan,1,3950
W.P. Labuan,2,2442
W.P. Labuan,3,912
W.P. Labuan,4,2
W.P. Labuan,5,2
W.P. Labuan,6,5
W.P. Labuan,7,11
W.P. Labuan,8,6
W.P. Labuan,9,10
W.P. Labuan,10,5
W.P. Labuan,11,13
W.P. Labuan,12,8
