Year,soe,Total_Arrivals,Total_Male_Arrivals,Total_Female_Arrivals
2022,Johor,9374160,5367706,4006454
2022,Kedah,537127,347638,189489
2022,Kelantan,186149,94465,91684
2022,Melaka,49385,21975,27410
2022,Negeri Sembilan,50226,34015,16211
2022,Pahang,1603,1001,602
2022,Perak,92868,44469,48399
2022,Perlis,437251,283481,153770
2022,Pulau Pinang,390584,182975,207609
2022,Sabah,142154,67847,74307
2022,Sarawak,628152,345197,282955
2022,Selangor,3252445,2006270,1246175
2022,Terengganu,33,28,5
2022,W.P. Labuan,6375,4151,2224
